longitude,latitude
-114.4393362974772,36.21276301159942
-114.40856362430013,36.248463743092465
-114.41629031027077,36.25736215570858
-114.40799483311929,36.26219901040275
-114.4162529134842,36.26980754287906
-114.4087158367134,36.27405142057503
-114.40653064383045,36.29279036263502
-114.41667052238031,36.302640221281585
-114.43904205115281,36.30587201270994
-114.4118855182126,36.30648936306491
-114.42230750630002,36.30996795035074
-114.41329343959292,36.31611742714982
-114.42286250728574,36.31625116545953
-114.41051523918483,36.32273496049207
-114.42658124416026,36.31801462973273
-114.43878272826603,36.34383462930589
-114.43396852359689,36.35037562341406
-114.42581484311478,36.347156358680515
-114.42789812195026,36.3530333682271
-114.41480603659758,36.3564470213739
-114.41552886008536,36.36689335784111
-114.39648024911065,36.37683043062599
-114.39986863937936,36.392231433614434
-114.3864372390596,36.39447817558758
-114.39497125651528,36.4033896415797
-114.37681325303069,36.39171116317345
-114.3834981138483,36.4099095770998
-114.37619864506334,36.41253663868483
-114.37398283551238,36.40357297470365
-114.37693430769833,36.41856724580605
-114.3527754362417,36.43962544532237
-114.37384191497246,36.46107984867296
-114.38591845905722,36.45604923577983
-114.38153004396129,36.46866777534053
-114.3990065289898,36.479214650487556
-114.39373406176698,36.48205198222168
-114.41253727115733,36.50100963946392
-114.41072932694351,36.51568964218843
-114.36242685906718,36.486517771285165
-114.36661305473352,36.48067824443517
-114.34979390719495,36.46174238496346
-114.34213792029676,36.48302517233867
-114.32942089953261,36.48898557669996
-114.34703024720687,36.49021298844497
-114.3539856822038,36.500702788887345
-114.33708606185829,36.51578277426148
-114.34576631386025,36.52380286039427
-114.33509918848404,36.53763847607218
-114.33518671298889,36.5117355928289
-114.32117763636971,36.48806344785418
-114.33846510114054,36.48180664306208
-114.33004345197592,36.465809978101916
-114.34220111712017,36.46734037536744
-114.32165282840913,36.459209440357085
-114.33641170643723,36.454144436143025
-114.31446104551284,36.41684543908044
-114.31880224222316,36.40141338085963
-114.3309418416187,36.39832016825297
-114.34448783385038,36.38069377032813
-114.35878351303226,36.37840996914863
-114.34918431251968,36.37161415845484
-114.3509326351844,36.36207416375151
-114.35880264012552,36.362099238736334
-114.35479349857759,36.3556858334324
-114.35850751350948,36.35574503619103
-114.36298504720808,36.361092755596054
-114.36590484138151,36.36099263446794
-114.36113609867682,36.34492476554059
-114.37091730728947,36.34269102148684
-114.37621409907209,36.32982243698361
-114.36792243859874,36.33023095829353
-114.37629151062845,36.326626154088316
-114.37135323062186,36.29587076345513
-114.38145229215039,36.28780494807508
-114.37152142771615,36.28445815358949
-114.37558090612963,36.24402701326442
-114.39349309077575,36.20099420930296
-114.37693521400331,36.1880907499138
-114.38455609432991,36.1805207474089
-114.37555501764743,36.18150353503672
-114.38197101596393,36.17684513828455
-114.37119727852998,36.16030013894655
-114.35050867695075,36.15117474410927
-114.35571368844508,36.14595541141098
-114.34422169026422,36.14438260109564
-114.32774959718348,36.118076200321354
-114.29994446099448,36.109012948613426
-114.30396581112609,36.104339806240304
-114.29286187172053,36.098098810714106
-114.29831746665779,36.09327793588396
-114.29047441258396,36.094001208929704
-114.30237879514048,36.087226208769124
-114.28267639801786,36.08445400460246
-114.2977202002276,36.073555610798266
-114.2907121891363,36.071610134926416
-114.29102027247981,36.060175742983766
-114.27204067179113,36.07196713732156
-114.27736358409501,36.060600398142874
-114.26205218259224,36.06731674294108
-114.2690592540815,36.05751094047675
-114.24630705120245,36.05706940174645
-114.25712766052426,36.04903139805518
-114.24505486340192,36.04574560255276
-114.27091026078874,36.04952612811626
-114.26133018320726,36.04486500378116
-114.26194225331255,36.02965240123775
-114.24566637786212,36.021377402621816
-114.25359525724903,36.034322123612625
-114.24454886011468,36.02799580317093
-114.23222783843963,36.03592560406387
-114.23933724851413,36.01907354009638
-114.22480857091135,36.01735979888576
-114.21503364296103,36.01774661011151
-114.21821924774976,36.022079138610636
-114.21407603445573,36.02516640262534
-114.20734098764994,36.0187751388952
-114.17732443192232,36.03023181074515
-114.15137637083399,36.02930359743958
-114.15761524739739,36.03277620928521
-114.14405763344315,36.04701734065132
-114.1513688436121,36.058124133244135
-114.14875543046885,36.08759702141214
-114.11141924249128,36.133232026128745
-114.10742949961592,36.15334898197928
-114.09531523826016,36.15235875350104
-114.10181844475923,36.158337032147216
-114.09685571116665,36.16090856372471
