LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param
36.5333,-113.9675,2152.5,Natural,Natural,1993,239,0,7.674849704494165,0.9915808802346031,0.9904996588174818
36.4666,-113.9175,8.8,Natural,Natural,1993,240,0,2.2823823856765264,0.0018308767120229668,0.0041747627969312305
36.6,-113.8508,13.2,Natural,Natural,1993,241,0,2.653241964607215,0.0019096504628141366,0.004259285356659745
36.5,-113.8508,0.1,Natural,Natural,1994,201,0,0.09531017980432487,0.0020530836782440137,0.0044011071590586
36.4833,-113.9008,0.1,Natural,Natural,1994,201,0,0.09531017980432487,0.0018839668087661913,0.004232274960801457
36.5833,-113.7175,0.1,Natural,Natural,1994,201,0,0.09531017980432487,0.007180631416067729,0.006891765527865824
36.175,-113.7077,0.1,Natural,Natural,1994,211,0,0.09531017980432487,0.05231868963744636,0.06220432832738627
36.55,-113.9341,1183.0,Natural,Natural,1994,219,0,7.076653815443951,0.9916090867965425,0.9905156347705775
36.3,-113.9675,3.0,Other causes,Human,1994,222,1,1.3862943611198906,0.0018749174969891179,0.004222633801666346
36.4,-113.7675,0.1,Natural,Natural,1994,223,0,0.09531017980432487,0.012817803126102343,0.012232378479634156
36.4166,-113.7841,1.5,Natural,Natural,1994,223,0,0.9162907318741551,0.0071972712895995985,0.00689370662212981
36.5666,-113.8008,225.1,Natural,Natural,1994,224,0,5.420977379283924,0.002098762405204926,0.0044433093899664145
36.5666,-113.8008,0.1,Natural,Natural,1994,224,0,0.09531017980432487,0.002098762405204926,0.0044433093899664145
36.4833,-113.7841,397.2,Natural,Natural,1994,225,0,5.986954391630096,0.007181696941276338,0.006891890301476007
36.4833,-113.9008,155.0,Natural,Natural,1994,230,0,5.049856007249537,0.0018839668087661913,0.004232274960801457
36.5833,-113.8008,3759.0,Natural,Natural,1995,153,0,8.23217423638394,0.002075227506896225,0.004421732862876796
36.5166,-113.7008,70.0,Natural,Natural,1995,153,0,4.2626798770413155,0.0071953216639038696,0.0068934795103967285
36.4333,-114.0008,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.9915686996415183,0.9904945477162775
36.55,-114.0175,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.7943354246912785,0.7827048489033737
