LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,t_param,s_param,fire_size_log
39.26027778,-119.98194444,0.1,Misuse of fire by a minor,Human,2008,222,1,0.4202678400560534,0.4170259474338621,0.09531017980432487
39.165,-120.1475,0.1,Recreation and ceremony,Human,2008,253,1,0.21429062373147884,0.2037119928479606,0.09531017980432487
39.24944444,-120.00638889,0.1,Recreation and ceremony,Human,2008,215,1,0.40952871153912196,0.40345139495798377,0.09531017980432487
38.86277778,-119.96055556,0.1,Recreation and ceremony,Human,2008,236,1,0.8619393633896517,0.8030707940437465,0.09531017980432487
38.92555556,-120.05527778,0.1,Recreation and ceremony,Human,2008,292,1,0.8786707397218412,0.8737881141490349,0.09531017980432487
38.89666667,-119.94916667,0.1,Arson/incendiarism,Human,2008,191,1,0.8600396656787189,0.7961674521625163,0.09531017980432487
38.88722222,-120.12638889,0.1,Recreation and ceremony,Human,2008,216,1,0.9269337405001049,0.9345235210216176,0.09531017980432487
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2008,222,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
38.9325,-119.97722222,0.1,Recreation and ceremony,Human,2008,186,1,0.8623343584252758,0.8064225759959908,0.09531017980432487
39.18777778,-120.17861111,0.1,Equipment and vehicle use,Human,2008,221,1,0.21475283794298577,0.20375867280312376,0.09531017980432487
38.85416667,-120.03444444,0.1,Debris and open burning,Human,2008,300,1,0.8672796464351649,0.8489506898259633,0.09531017980432487
39.22444444,-120.13944444,0.1,Recreation and ceremony,Human,2008,296,1,0.2293602021903986,0.22106065731829505,0.09531017980432487
39.1125,-119.86277778,0.1,Power generation/transmission/distribution,Human,2009,192,1,0.5632931787466192,0.5529921645967265,0.09531017980432487
39.31472222,-119.94555556,0.1,Natural,Natural,2009,216,0,0.4283242185383982,0.42573445332202176,0.09531017980432487
39.28277778,-119.8675,0.1,Natural,Natural,2009,214,0,0.45004458578022055,0.46234803738759905,0.09531017980432487
38.86777778,-120.06361111,0.1,Arson/incendiarism,Human,2009,140,1,0.8790677301229031,0.8740086323160754,0.09531017980432487
38.95,-120.08,0.1,Debris and open burning,Human,2009,141,1,0.8927579499715732,0.8950116297983319,0.09531017980432487
38.99388889,-119.89083333,0.1,Recreation and ceremony,Human,2009,146,1,0.7935932732454785,0.721432983524538,0.09531017980432487
39.22361111,-120.13777778,0.1,Recreation and ceremony,Human,2009,178,1,0.22939574014256367,0.22107124874563333,0.09531017980432487
39.22361111,-120.13777778,0.1,Recreation and ceremony,Human,2009,179,1,0.22939574014256367,0.22107124874563333,0.09531017980432487
39.21861111,-120.14,0.1,Recreation and ceremony,Human,2009,179,1,0.22930154893962695,0.2210425945566204,0.09531017980432487
39.21888889,-120.14,0.1,Recreation and ceremony,Human,2009,184,1,0.22930402218405327,0.22104337127794155,0.09531017980432487
39.24944444,-120.00666667,0.1,Recreation and ceremony,Human,2009,185,1,0.40946500003979686,0.40338062242559525,0.09531017980432487
39.11055556,-120.16555556,0.1,Recreation and ceremony,Human,2009,186,1,0.14524803161588412,0.14365101723830814,0.09531017980432487
39.24861111,-120.05333333,0.1,Recreation and ceremony,Human,2009,186,1,0.3223493592636683,0.3268521681585467,0.09531017980432487
39.24277778,-120.11111111,0.1,Recreation and ceremony,Human,2009,192,1,0.28831238341813475,0.2918325340606271,0.09531017980432487
38.87555556,-120.08166667,0.1,Recreation and ceremony,Human,2009,195,1,0.88252210398895,0.8799818482267955,0.09531017980432487
39.25166667,-120.05194444,0.1,Recreation and ceremony,Human,2009,196,1,0.32272815403891514,0.3274676883115061,0.09531017980432487
39.25083333,-120.03472222,0.1,Power generation/transmission/distribution,Human,2009,196,1,0.3402477129046198,0.3395606944322994,0.09531017980432487
39.01555556,-119.94972222,0.1,Smoking,Human,2009,201,1,0.78813250914313,0.7152550444552628,0.09531017980432487
38.92555556,-120.06944444,0.1,Recreation and ceremony,Human,2009,205,1,0.8831105781232851,0.8814465777971339,0.09531017980432487
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2009,207,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
38.90472222,-120.04805556,0.5,Recreation and ceremony,Human,2009,208,1,0.8710786810317849,0.8591464248660333,0.4054651081081644
38.93444444,-120.04472222,0.1,Power generation/transmission/distribution,Human,2009,208,1,0.8714366673682457,0.8611301145017886,0.09531017980432487
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2009,212,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2009,213,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
39.23277778,-119.89972222,0.1,Recreation and ceremony,Human,2009,214,1,0.4635130306651612,0.4752204568323436,0.09531017980432487
39.18055556,-120.09388889,0.1,Recreation and ceremony,Human,2009,214,1,0.25016095012705863,0.2501506738721772,0.09531017980432487
38.92166667,-120.08138889,0.1,Recreation and ceremony,Human,2009,214,1,0.8860888334336896,0.8875189746000393,0.09531017980432487
38.86861111,-119.99583333,0.1,Power generation/transmission/distribution,Human,2009,216,1,0.8644157534174024,0.8305210316548503,0.09531017980432487
39.23833333,-120.04027778,0.1,Recreation and ceremony,Human,2009,219,1,0.3386118835076428,0.33875395392551366,0.09531017980432487
38.9,-120.005,0.1,Recreation and ceremony,Human,2009,228,1,0.8646880708361673,0.8336376008453181,0.09531017980432487
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2009,228,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
39.23194444,-120.11833333,0.1,Smoking,Human,2009,232,1,0.28707608586917327,0.28932879473525047,0.09531017980432487
39.04055556,-120.16555556,0.25,Recreation and ceremony,Human,2009,235,1,0.10851887254650809,0.108774306308625,0.22314355131420976
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2009,236,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
39.15,-119.93138889,0.2,Arson/incendiarism,Human,2009,237,1,0.5610635495151257,0.5517675920096751,0.18232155679395465
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2009,242,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
38.98694444,-120.15305556,0.1,Recreation and ceremony,Human,2009,243,1,0.009998644564869139,0.016824491026099533,0.09531017980432487
38.97277778,-119.93166667,0.1,Recreation and ceremony,Human,2009,251,1,0.8431624189703838,0.7691161676430942,0.09531017980432487
39.29666667,-119.89305556,0.1,Recreation and ceremony,Human,2009,280,1,0.448885783196567,0.4611066408780217,0.09531017980432487
38.85416667,-120.03,0.1,Recreation and ceremony,Human,2009,261,1,0.8671695538709323,0.8487896587793221,0.09531017980432487
39.20611111,-120.20055556,0.1,Arson/incendiarism,Human,2009,244,1,0.21485593564238684,0.2037755941003373,0.09531017980432487
39.06138889,-120.15888889,0.1,Arson/incendiarism,Human,2009,315,1,0.1087930797716604,0.10918430146321789,0.09531017980432487
38.95388889,-119.93305556,0.3,Recreation and ceremony,Human,2009,272,1,0.8485141852414554,0.7772540369430546,0.262364264467491
39.14694444,-120.17666667,0.1,Recreation and ceremony,Human,2009,304,1,0.18513432227285453,0.17511454107781815,0.09531017980432487
38.86277778,-120.02527778,0.1,Arson/incendiarism,Human,2009,313,1,0.8669982568894062,0.8484887358584993,0.09531017980432487
38.93416667,-119.99111111,1.0,Arson/incendiarism,Human,2009,251,1,0.8633477739970923,0.8175276032484081,0.6931471805599453
39.31666667,-119.98333333,0.1,Natural,Natural,1992,196,0,0.41873399054668786,0.41232743524149235,0.09531017980432487
39.19333333,-119.88833333,0.5,Natural,Natural,1992,196,0,0.5152731313610157,0.5069951911790375,0.4054651081081644
39.19333333,-119.88833333,0.1,Natural,Natural,1992,196,0,0.5152731313610157,0.5069951911790375,0.09531017980432487
39.31666667,-119.96333333,0.1,Natural,Natural,1992,197,0,0.42668768162686443,0.42428616288894333,0.09531017980432487
38.895,-119.85833333,0.1,Recreation and ceremony,Human,1992,224,1,0.8503360877458017,0.7798861619273022,0.09531017980432487
39.11,-119.87166667,2.0,Natural,Natural,1992,227,0,0.6736336096152128,0.6310556516846927,1.0986122886681098
38.85666667,-120.23166667,0.1,Equipment and vehicle use,Human,1992,218,1,0.9276968614479852,0.9346800059448497,0.09531017980432487
38.95166667,-120.22,0.1,Recreation and ceremony,Human,1992,238,1,0.9342762239663768,0.9388834389652235,0.09531017980432487
38.94166667,-120.15833333,0.1,Natural,Natural,1992,242,0,0.9340110634121002,0.9387638075656779,0.09531017980432487
38.86666667,-120.20666667,0.1,Natural,Natural,1992,242,0,0.9276192622783309,0.9346634681732762,0.09531017980432487
38.95666667,-120.17166667,0.1,Natural,Natural,1992,242,0,0.9343438971166682,0.9389136432118852,0.09531017980432487
