LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_opt,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt
38.93166667,-120.08833333,0.1,Smoking,Human,1995,217,1,0.09531017980432487,0.9195075416857031,0.9267840044213602,2.1252546857540078,3,3,3,3.0,3.0,3.0
38.94666667,-119.94333333,0.1,Smoking,Human,1995,223,1,0.09531017980432487,0.8518189087587922,0.7824572337414153,1.3206997560552103,0,0,0,0.0,0.0,0.0
39.17666667,-120.19833333,0.1,Smoking,Human,1995,225,1,0.09531017980432487,0.21449286220038544,0.2037277054585097,4.905628000882405,2,2,2,2.0,2.0,2.0
38.85833333,-120.09,0.1,Misuse of fire by a minor,Human,1995,227,1,0.09531017980432487,0.8832435741672862,0.8817771997493803,9.593215558577521,3,3,3,,,
39.17666667,-120.14333333,2.0,Recreation and ceremony,Human,1995,228,1,1.0986122886681098,0.219954054913886,0.20789073102817848,0.7513826206986244,2,2,2,2.0,2.0,2.0
38.87166667,-119.99666667,0.1,Smoking,Human,1995,231,1,0.09531017980432487,0.864437468360062,0.8307751372121777,7.594069983267789,3,3,3,,,
39.01833333,-119.99833333,0.2,Equipment and vehicle use,Human,1995,234,1,0.18232155679395465,0.8130593543205297,0.7351542786639856,3.7376301571430726,0,0,0,0.0,0.0,0.0
39.04666667,-120.16166667,0.1,Recreation and ceremony,Human,1995,239,1,0.09531017980432487,0.10841215064493746,0.10861581759454252,3.348068098471534,2,2,2,2.0,2.0,2.0
39.06166667,-120.14333333,0.1,Misuse of fire by a minor,Human,1995,241,1,0.09531017980432487,0.10199183637842553,0.0961089191982322,1.1662199797117978,2,2,2,2.0,2.0,2.0
39.23666667,-120.0,0.1,Smoking,Human,1995,243,1,0.09531017980432487,0.4006815469484155,0.3963845782619304,0.012304077461180134,1,1,1,1.0,1.0,1.0
39.265,-119.90833333,0.1,Recreation and ceremony,Human,1995,247,1,0.09531017980432487,0.4493408494986133,0.4616845378058042,4.27571090083194,1,1,1,1.0,1.0,1.0
38.94666667,-120.08833333,0.2,Recreation and ceremony,Human,1995,248,1,0.18232155679395465,0.9178003935035507,0.9238684406278147,0.6658757631411857,3,3,3,3.0,3.0,3.0
39.12,-119.925,0.1,Smoking,Human,1995,251,1,0.09531017980432487,0.5999913144682598,0.5767536165004444,1.914898894295237,1,1,1,1.0,1.0,1.0
39.06166667,-119.94333333,0.1,Recreation and ceremony,Human,1995,253,1,0.09531017980432487,0.71985521846853,0.665920453623863,0.047083938826128255,0,0,0,0.0,0.0,0.0
38.91666667,-120.15,0.1,Recreation and ceremony,Human,1995,259,1,0.09531017980432487,0.9277042805603221,0.9346815898384859,5.362712075231018,3,3,3,,,
39.25166667,-120.05666667,0.1,Recreation and ceremony,Human,1995,259,1,0.09531017980432487,0.32147280215180923,0.32537175238798804,1.3503285392244435,1,1,1,1.0,1.0,1.0
39.13333333,-119.89666667,0.1,Recreation and ceremony,Human,1995,281,1,0.09531017980432487,0.5631544181774398,0.552936361160564,3.547122799352676,1,1,1,1.0,1.0,1.0
38.875,-119.88333333,0.1,Recreation and ceremony,Human,1995,285,1,0.09531017980432487,0.8529635254199187,0.7847548926477772,10.731889710416853,0,0,0,,,
39.00333333,-120.125,0.1,Recreation and ceremony,Human,1995,287,1,0.09531017980432487,0.009905992169293316,0.01680815167306389,1.254328218486343,2,3,2,3.0,3.0,3.0
