LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
36.0367,-114.7833,4,4,Human-Caused,Recreation and ceremony,0.1,2008
36.02983,-114.32424,1,1,Human-Caused,Power generation/transmission/distribution,0.1,2008
36.04786,-114.82016,4,4,Human-Caused,Debris and open burning,0.1,2008
36.1478,-113.975,1,1,Natural,Lightning,1.5,2008
35.8658,-114.6197,4,4,Human-Caused,Equipment and vehicle use,0.1,2008
36.1742,-114.7644,4,4,Human-Caused,Equipment and vehicle use,0.1,2008
36.00872,-114.76643,4,4,Human-Caused,Debris and open burning,0.1,2008
36.1553,-114.8083,4,4,Human-Caused,Recreation and ceremony,0.1,2009
36.30824,-114.43582,2,2,Human-Caused,Arson/incendiarism,0.1,2009
36.0372,-114.8044,4,4,Human-Caused,Arson/incendiarism,0.1,2009
36.0397,-114.8019,4,4,Natural,Lightning,0.1,2009
36.4022,-114.5556,2,2,Natural,Lightning,2.0,2004
36.4258,-114.5802,2,2,Natural,Lightning,0.5,2004
35.91527778,-114.55694444,4,4,Natural,Lightning,1.0,2005
36.54694444,-114.97277778,2,2,Natural,Lightning,320.0,2005
35.80225285,-114.09830575,1,1,Natural,Lightning,0.25,2006
35.87894664,-114.28537202,1,1,Natural,Lightning,0.1,1995
36.57752008,-113.76619194,3,3,Human-Caused,Equipment and vehicle use,4.0,1994
35.90443012,-114.17566398,1,1,Natural,Lightning,0.1,1996
35.8142,-114.1313,1,1,Human-Caused,Equipment and vehicle use,0.3,2007
35.8944,-114.0861,1,1,Human-Caused,Equipment and vehicle use,0.1,2007
35.8183,-113.8747,1,1,Natural,Lightning,0.7,2010
35.8967,-113.7964,1,1,Natural,Lightning,0.3,2010
36.5536,-114.6967,2,2,Natural,Lightning,0.1,2010
36.0044,-114.9144,4,4,Natural,Lightning,0.1,2010
36.2017,-114.6883,4,4,Natural,Lightning,0.1,2010
36.0244,-114.798,4,4,Human-Caused,Equipment and vehicle use,0.1,2010
36.4244,-114.4155,2,2,Human-Caused,Equipment and vehicle use,0.1,2010
36.1394,-114.7267,4,4,Human-Caused,Recreation and ceremony,0.1,2010
36.375,-114.3942,2,2,Human-Caused,Fireworks,0.1,2010
36.0083,-114.8069,4,4,Natural,Lightning,0.1,2010
35.8846,-114.1064,1,1,Natural,Lightning,0.1,2001
35.8277,-114.5367,4,4,Human-Caused,Smoking,0.25,2002
35.9662,-114.0971,1,1,Human-Caused,Equipment and vehicle use,0.1,2008
35.9597,-113.8486,1,1,Human-Caused,Smoking,1.0,2011
35.8906,-113.8439,1,1,Natural,Lightning,350.0,2011
36.550597,-113.808197,3,3,Natural,Lightning,17188.0,2011
36.5055,-113.889703,3,3,Natural,Lightning,0.1,2011
36.4769,-113.8719,3,3,Natural,Lightning,0.1,2011
36.4227,-113.7742,3,3,Natural,Lightning,130.0,2011
36.4537,-113.747703,3,3,Natural,Lightning,0.2,2011
36.545897,-113.782203,3,3,Natural,Lightning,200.0,2011
36.2514,-113.769797,3,3,Natural,Lightning,866.0,2011
36.261903,-113.8135,3,3,Natural,Lightning,1080.0,2011
35.86925,-113.95289,1,1,Natural,Lightning,0.5,2011
35.9703,-113.9625,1,1,Natural,Lightning,215.0,2011
36.4456,-114.9783,2,2,Natural,Lightning,1.3,2011
36.136595,-113.761088,1,1,Natural,Lightning,0.1,2011
35.9894,-113.9639,1,1,Natural,Lightning,9795.0,2011
36.0081,-114.8025,4,4,Natural,Lightning,0.1,2011
36.3008,-114.4339,2,2,Natural,Lightning,0.1,2011
36.0347,-114.3203,1,1,Human-Caused,Equipment and vehicle use,0.3,2011
36.1158,-114.8392,4,4,Human-Caused,Arson/incendiarism,0.3,2011
36.0356,-114.8008,4,4,Natural,Lightning,0.1,2011
36.1428,-114.6528,4,4,Natural,Lightning,0.1,2011
36.1192,-114.8667,4,4,Natural,Lightning,0.1,2011
36.1625,-113.8503,1,1,Natural,Lightning,0.6,2011
36.1775,-113.7611,1,1,Natural,Lightning,0.1,2011
36.1442,-113.8258,1,1,Natural,Lightning,0.1,2011
