LATITUDE,LONGITUDE,Cluster_Basin,Cluster_NearShore_Label,Near_Shore_2km,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
39.192224,-120.099779,4,4,1,Human-Caused,Arson/incendiarism,0.01,2015
39.062133,-120.1354,3,3,1,Human-Caused,Arson/incendiarism,0.1,2015
39.242288,-120.059359,4,4,1,Human-Caused,Debris and open burning,0.01,2015
39.1887,-120.129217,4,4,1,Human-Caused,Recreation and ceremony,1.0,2014
38.879361,-119.989583,1,Not in near-shore subset,0,Human-Caused,Equipment and vehicle use,0.1,2015
39.240118,-120.026939,4,4,1,Human-Caused,Misuse of fire by a minor,0.1,2014
39.14416667,-120.19111111,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.01,2016
38.94277778,-120.06888889,1,1,1,Human-Caused,Smoking,0.1,2016
39.09944444,-120.20888889,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2016
39.21444444,-120.15833333,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2016
39.25277778,-120.07472222,4,4,1,Human-Caused,Recreation and ceremony,0.1,2016
39.25861111,-120.01055556,4,4,1,Human-Caused,Recreation and ceremony,0.01,2016
39.09194444,-120.24277778,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2016
38.92583333,-120.13166667,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.5,2016
39.06555556,-119.94361111,2,1,1,Human-Caused,Recreation and ceremony,0.1,2016
38.93583333,-120.03527778,1,1,1,Human-Caused,Smoking,0.1,2016
39.25277778,-120.07444444,4,4,1,Human-Caused,Recreation and ceremony,0.1,2016
39.11166667,-120.18722222,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.25,2016
39.24944444,-120.0075,4,4,1,Human-Caused,Recreation and ceremony,0.01,2016
38.98055556,-119.9425,1,1,1,Human-Caused,Arson/incendiarism,0.01,2016
38.98055556,-119.9425,1,1,1,Human-Caused,Arson/incendiarism,0.01,2016
39.16888889,-120.16055556,4,4,1,Human-Caused,Recreation and ceremony,0.1,2016
39.25361111,-120.02916667,4,4,1,Human-Caused,Fireworks,0.1,2016
38.95277778,-119.93888889,1,1,1,Human-Caused,Arson/incendiarism,0.1,2016
38.97861111,-119.94333333,1,1,1,Human-Caused,Recreation and ceremony,0.01,2016
38.94972222,-119.93805556,1,1,1,Human-Caused,Recreation and ceremony,0.1,2016
38.90583333,-120.01555556,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2016
38.93888889,-119.97694444,1,1,1,Human-Caused,Recreation and ceremony,0.1,2016
38.96777778,-119.94111111,1,1,1,Human-Caused,Arson/incendiarism,0.25,2016
38.91833333,-119.95694444,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2016
39.245,-120.02638889,4,4,1,Human-Caused,Recreation and ceremony,0.2,2016
38.88861111,-120.02638889,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,1.0,2016
38.89444444,-119.98194444,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2016
39.16222222,-120.14861111,4,4,1,Human-Caused,Recreation and ceremony,0.1,2016
38.93972222,-119.95361111,1,1,1,Human-Caused,Arson/incendiarism,0.1,2016
38.93916667,-119.95305556,1,1,1,Human-Caused,Arson/incendiarism,0.1,2016
38.93194444,-119.98083333,1,1,1,Human-Caused,Arson/incendiarism,1.0,2016
38.91666667,-120.01666667,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2016
39.245,-120.02361111,4,4,1,Human-Caused,Recreation and ceremony,0.1,2016
38.92666667,-119.94777778,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2016
38.92416667,-119.94777778,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,2.8,2016
38.92805556,-119.94805556,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.5,2016
38.94888889,-120.08305556,3,3,1,Human-Caused,Power generation/transmission/distribution,176.0,2016
38.95055556,-119.94277778,1,1,1,Human-Caused,Arson/incendiarism,0.1,2016
38.945,-119.945,1,1,1,Human-Caused,Arson/incendiarism,0.1,2016
39.11055556,-119.91111111,2,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.58,2016
39.15888889,-120.16444444,3,Not in near-shore subset,0,Natural,Lightning,0.25,2017
38.90972222,-120.1225,3,Not in near-shore subset,0,Natural,Lightning,0.2,2017
38.89555556,-120.00861111,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.01,2017
38.88861111,-120.01694444,1,Not in near-shore subset,0,Natural,Lightning,0.1,2017
39.10333333,-120.20444444,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2017
39.19861111,-120.16861111,4,Not in near-shore subset,0,Natural,Lightning,0.1,2017
39.09555556,-120.24194444,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.25,2017
39.11722222,-120.17805556,3,3,1,Natural,Lightning,0.1,2017
39.05638889,-120.17222222,3,Not in near-shore subset,0,Natural,Lightning,0.1,2017
39.01805556,-119.94777778,2,2,1,Natural,Lightning,0.01,2017
39.28444444,-119.93583333,2,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.01,2017
39.16055556,-119.93333333,2,2,1,Human-Caused,Recreation and ceremony,0.01,2017
38.92944444,-119.90527778,1,Not in near-shore subset,0,Human-Caused,Smoking,0.1,2017
38.93833333,-120.04305556,1,1,1,Human-Caused,Recreation and ceremony,0.1,2017
39.26916667,-120.04194444,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.2,2017
39.01527778,-119.93944444,1,1,1,Human-Caused,Misuse of fire by a minor,0.1,2017
