LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year,Dist_To_Lake_Km
36.1353,-114.9078,4,4,Natural,Lightning,0.1,2014,2.93
36.3164,-114.4605,2,2,Human-Caused,Equipment and vehicle use,0.3,2014,2.24
36.0103,-114.7989,4,4,Natural,Lightning,0.1,2014,2.55
36.0872,-114.2253,1,3,Natural,Lightning,0.1,2014,3.84
36.0981,-114.0453,1,1,Natural,Lightning,0.1,2014,4.47
36.0342,-114.7975,4,4,Natural,Lightning,0.1,2015,0.87
36.0278,-113.8036,3,1,Natural,Lightning,0.1,2017,0.55
36.37458,-114.44261,2,2,Human-Caused,Smoking,0.1,2016,2.68
36.0147,-114.7472,4,4,Human-Caused,Recreation and ceremony,0.1,2016,1.1
35.97906,-114.69472,4,4,Natural,Lightning,0.1,2016,4.88
36.12258,-114.90404,4,4,Natural,Lightning,0.1,2016,2.7
36.11333,-114.66777,4,4,Human-Caused,Arson/incendiarism,0.1,2016,0.56
36.01169,-114.79468,4,4,Natural,Lightning,0.1,2016,2.15
36.5303,-114.418,2,2,Natural,Lightning,1.0,2016,1.53
36.14131,-114.72892,4,4,Human-Caused,Smoking,1.0,2017,0.38
36.095069,-113.9003,3,1,Natural,Lightning,165.0,2018,0.33
36.08592,-114.08683,1,1,Human-Caused,Equipment and vehicle use,0.4,2018,1.55
36.0314,-114.32324,1,1,Human-Caused,Recreation and ceremony,0.1,2018,0.68
36.12798,-114.87159,4,4,Human-Caused,Recreation and ceremony,0.1,2018,0.36
36.2097,-114.5698,4,4,Human-Caused,Fireworks,0.6,2018,4.33
36.112095,-114.86149,4,4,Human-Caused,Smoking,0.1,2018,0.41
35.98908,-114.715388,4,4,Human-Caused,Smoking,0.1,2018,2.91
36.07249,-114.06029,1,1,Human-Caused,Equipment and vehicle use,0.1,2019,4.17
36.1097,-114.8883,4,4,Human-Caused,Equipment and vehicle use,0.1,2019,2.21
36.30782768,-114.42903527,2,2,Human-Caused,Recreation and ceremony,0.1,2020,0.38
36.09822529,-114.85141177,4,4,Human-Caused,Equipment and vehicle use,0.1,2020,1.47
36.1581653,-114.81221176,4,4,Human-Caused,Arson/incendiarism,0.1,2020,3.1
36.19110531,-114.73421175,4,4,Human-Caused,Equipment and vehicle use,0.1,2020,4.1
36.00214528,-114.72411173,4,4,Human-Caused,Equipment and vehicle use,0.1,2020,1.26
36.03040531,-114.32431166,1,1,Human-Caused,Recreation and ceremony,0.4,2020,0.81
36.03720528,-114.80091175,4,4,Human-Caused,Recreation and ceremony,0.1,2020,0.75
