LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt,cluster_basin_opt
35.8967,-113.7964,0.3,Natural,Natural,2010,229,0,0.262364264467491,0.08867886414560752,0.09387197203764663,10.978177260033142,0,0,,,,0
36.5536,-114.6967,0.1,Natural,Natural,2010,216,0,0.09531017980432487,0.7687255348017172,0.7445093830188392,25.385932939491518,1,1,,,,1
36.0044,-114.9144,0.1,Natural,Natural,2010,220,0,0.09531017980432487,0.4796923832710111,0.47341927338480705,10.76119983345247,3,3,,,,3
36.2017,-114.6883,0.1,Natural,Natural,2010,118,0,0.09531017980432487,0.5873263108822897,0.5683266778512112,5.184291273665058,3,3,,,,3
36.0244,-114.798,0.1,Equipment and vehicle use,Human,2010,148,1,0.09531017980432487,0.47338892892457696,0.46796095271516797,1.8176220878741827,3,3,3.0,3.0,3.0,3
36.4244,-114.4155,0.1,Equipment and vehicle use,Human,2010,176,1,0.09531017980432487,0.7384255286830305,0.7087526177820069,2.950700793496975,1,1,1.0,1.0,1.0,1
36.1394,-114.7267,0.1,Recreation and ceremony,Human,2010,184,1,0.09531017980432487,0.5729882353022822,0.5545243796713643,0.3720615235179238,3,3,3.0,3.0,3.0,3
36.375,-114.3942,0.1,Fireworks,Human,2010,185,1,0.09531017980432487,0.7313673436355702,0.70240085356299,0.27908343931915136,1,1,1.0,1.0,1.0,1
36.0083,-114.8069,0.1,Natural,Natural,2010,189,0,0.09531017980432487,0.470315677380509,0.4645581814008809,3.2807679171046114,3,3,3.0,3.0,3.0,3
35.8846,-114.1064,0.1,Natural,Natural,2001,132,0,0.09531017980432487,0.2063786468127111,0.22409534071011986,14.272984550786795,0,0,,,,0
35.8277,-114.5367,0.25,Smoking,Human,2002,228,1,0.22314355131420976,0.36941632221776316,0.36713991654877076,25.27373859503379,3,3,,,,3
35.9662,-114.0971,0.1,Equipment and vehicle use,Human,2008,157,1,0.09531017980432487,0.20634496777547603,0.2240897560315314,5.6297782142415045,0,0,,,,0
35.9597,-113.8486,1.0,Smoking,Human,2011,157,1,0.6931471805599453,0.08867026316164403,0.0938717777588576,7.331769395060206,0,0,,,,0
35.8906,-113.8439,350.0,Natural,Natural,2011,215,0,5.860786223465865,0.08867693475124085,0.09387194286020475,12.923017896019815,0,0,,,,0
36.550597,-113.808197,17188.0,Natural,Natural,2011,190,0,9.752024923328158,0.014503573563325574,0.012806306406553574,37.32081790128205,2,2,,,,2
36.5055,-113.889703,0.1,Natural,Natural,2011,188,0,0.09531017980432487,0.014478734160608938,0.012794806112451441,29.7497172385814,2,2,,,,2
36.4769,-113.8719,0.1,Natural,Natural,2011,189,0,0.09531017980432487,0.014495684422896355,0.01280266300079548,27.43525376206322,2,2,,,,2
36.4227,-113.7742,130.0,Natural,Natural,2011,215,0,4.875197323201151,0.01456362766327347,0.012834794799329882,27.829577403752786,2,2,,,,2
36.4537,-113.747703,0.2,Natural,Natural,2011,215,0,0.18232155679395465,0.014558339239768145,0.01283218314345002,31.92520364888995,2,2,,,,2
36.545897,-113.782203,200.0,Natural,Natural,2011,238,0,5.303304908059076,0.01451413107178297,0.01281119057430299,38.026355900635906,2,2,,,,2
36.2514,-113.769797,866.0,Natural,Natural,2011,238,0,6.7650389767805414,0.06544006030661709,0.05798684046689382,19.689721947409954,2,2,,,,2
36.261903,-113.8135,1080.0,Natural,Natural,2011,254,0,6.985641817639208,0.06511724067556796,0.057515088963410205,17.918093939813236,2,2,,,,2
35.86925,-113.95289,0.5,Natural,Natural,2011,186,0,0.4054651081081644,0.10125890334094556,0.11394682466406894,21.86123742874307,0,0,,,,0
35.9703,-113.9625,215.0,Natural,Natural,2011,215,0,5.375278407684165,0.10238803791730955,0.11601480965643259,12.256328114626255,0,0,,,,0
36.4456,-114.9783,1.3,Natural,Natural,2011,206,0,0.832909122935104,0.5059596141310829,0.5026861483016448,36.00809956972138,1,1,,,,1
36.136595,-113.761088,0.1,Natural,Natural,2011,212,0,0.09531017980432487,0.07924236373201513,0.0829782137295325,10.64916664010352,0,0,,,,0
35.9894,-113.9639,9795.0,Natural,Natural,2011,215,0,9.189729418072059,0.10259316226783113,0.11637033571286302,10.659113683315438,0,0,,,,0
36.0081,-114.8025,0.1,Natural,Natural,2011,237,0,0.09531017980432487,0.470271877972222,0.464535120498207,2.9567226283674564,3,3,3.0,3.0,3.0,3
